,SegID
910,67643
911,34878
912,67647
913,34879
914,34880
915,2114
916,165954
917,67650
918,34885
919,2118
920,165958
921,2120
922,34887
923,67658
924,34890
925,165961
926,165965
927,165963
928,34895
929,165968
930,67665
931,2130
932,34896
933,133202
934,34893
935,67670
936,67673
937,2141
938,165985
939,133218
940,2147
941,67684
942,231525
943,67685
944,2153
945,67690
946,67691
947,165996
948,133228
949,9013359
950,133232
951,67695
952,133234
953,9013362
954,34934
955,166015
956,67713
957,133250
958,133251
959,133252
960,133253
961,34950
962,34951
963,133254
964,166022
965,34948
966,34955
967,34956
968,67724
969,67726
970,34958
971,133266
972,34963
973,133268
974,34967
975,34968
976,67736
977,166041
978,67737
979,67739
980,67741
981,67740
982,67743
983,67744
984,67745
985,67742
986,67746
987,166052
988,67747
989,133279
990,34974
991,34975
992,67754
993,34990
994,100527
995,34994
996,231604
997,35002
998,166079
999,35009
1000,35010
1001,67780
1002,133318
1003,166088
1004,166089
1005,166096
1006,67796
1007,35029
1008,67797
1009,133335
1010,133338
1011,133341
1012,67806
1013,35040
1014,35041
1015,35042
1016,67810
1017,133356
1018,133363
1019,166132
1020,67832
1021,166137
1022,67834
1023,67835
1024,67837
1025,133375
1026,133376
1027,35078
1028,35079
1029,67846
1030,35093
1031,35094
1032,67861
1033,35097
1034,35098
1035,67865
1036,67868
1037,67866
1038,35102
1039,67871
1040,67873
1041,35105
1042,133419
1043,166203
1044,35133
1045,67901
1046,35135
1047,133440
1048,2367
1049,2369
1050,9013571
1051,133442
1052,9013573
1053,100669
1054,9013575
1055,9013577
1056,67917
1057,35150
1058,35151
1059,35158
1060,35160
1061,35164
1062,67932
1063,67936
1064,133472
1065,100707
1066,166244
1067,166247
1068,67943
1069,67946
1070,133483
1071,133484
1072,2413
1073,100717
1074,133490
1075,100723
1076,100725
1077,67967
1078,67968
1079,67971
1080,67973
1081,35207
1082,133512
1083,67979
1084,67980
1085,67981
1086,166294
1087,166298
1088,35231
1089,166305
1090,35235
1091,166308
1092,166317
1093,68015
1094,68016
1095,133554
1096,35251
1097,35250
1098,35253
1099,35254
1100,100792
1101,35257
1102,68026
1103,100794
1104,68027
1105,166330
1106,68030
1107,100796
1108,133568
1109,35258
1110,35270
1111,68048
1112,68050
1113,133587
1114,68052
1115,166360
1116,68058
1117,133609
1118,68073
1119,68080
1120,166385
1121,68081
1122,231920
1123,166391
1124,68088
1125,68098
1126,35348
1127,35350
1128,35359
1129,133667
1130,264741
1131,166445
1132,68157
1133,166464
1134,68163
1135,166470
1136,68172
1137,166478
1138,133710
1139,133711
1140,9013840
1141,9013838
1142,133717
1143,35420
1144,68193
1145,68196
1146,166503
1147,68200
1148,68199
1149,9013866
1150,166507
1151,2668
1152,2673
1153,9013874
1154,166516
1155,2677
1156,2678
1157,2686
1158,68226
1159,133768
1160,2696
1161,68236
1162,68243
1163,166548
1164,68244
1165,166554
1166,35487
1167,35499
1168,133815
1169,68282
1170,35516
1171,35517
1172,68288
1173,166597
1174,35526
1175,2760
1176,68300
1177,68302
1178,101080
1179,133860
1180,2789
1181,101100
1182,101101
1183,101104
